domain,score,reason,status,priority,next_action,notes,response_time_ms,final_url,ssl_valid,ssl_days_until_expiry,domain_age_days,server_country,has_live_content,html_title,word_count,scrape_method,credits_used,error
fathom.video,80.0,Valid SSL | Unknown age (WHOIS fail) | Live content detected | High word count (1049),success,High,Manual Review,,629.27,https://www.fathom.ai/,True,49.0,,AI,True,Fathom AI Notetaker - Never Take Notes Again,1049,bs4,0,
figma.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (826),success,High,Manual Review,,3952.89,https://www.figma.com/,True,134.0,9889.0,COM,True,Figma: The Collaborative Interface Design Tool,826,bs4,0,
nft-mint-now-free.io,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
docusend.io,74.46000000000001,Valid SSL | Domain age: 41 days (linear score) | Live content detected | Medium word count (383),success,Medium,Monitor,,740.17,https://www.docusend.io/,True,66.0,41.0,IO,True,DocuSend | Document Campaign Automation,383,bs4,0,
bygonecompany2018.com,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
clearbit.com,90.65,Valid SSL | Established domain (>= 2 years) | Live content detected | Medium word count (313),success,High,Manual Review,,4212.74,https://clearbit.com,True,254.0,8343.0,COM,True,Clearbit has joined HubSpot,313,bs4,0,
airtable.com,0.0,Critical failure: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,True,"Airtable: Build Enterprise-ready AI Workflows, Apps & Agents - Airtable",266,serper,2,Pass1 Exception: Failed to resolve domain via HTTP/HTTPS
healthcheck-online.org,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
producthunt.com,40.0,Valid SSL | Established domain (>= 2 years) | No live content | Low word count (0),error,Low,Discard,Fallback to Serper.dev (Pass 1 failed),94.81,https://producthunt.com,True,70.0,8464.0,COM,False,,0,serper,0,"All scraping methods failed: Pass2 Error: Serper Exception: ClientResponseError - 500, message='Internal Server Error', url='https://scrape.serper.dev'"
godaddy.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1781),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),96.96,https://www.godaddy.com/,True,84.0,9928.0,COM,True,"Noms de domaine, Sites Web, Outils de marketing en ligne et d’hébergement - GoDaddy FR",1781,serper,2,
slack.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1876),success,High,Manual Review,,852.2,https://slack.com,True,56.0,12251.0,COM,True,Slack | AI Work Platform & Productivity Tools,1876,bs4,0,
instant-cash-2024.info,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
indiehackers.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2022),success,High,Manual Review,,3691.15,https://www.indiehackers.com/,True,86.0,4053.0,COM,True,Indie Hackers: Work Together to Build Profitable Online Businesses,2022,bs4,0,
